id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight,age
530,167285,Alireza Haghighi,191589,1988-05-02 00:00:00,1.9304,79.83225712000001,33
8608,184536,Philippe Coutinho,189242,1992-06-12 00:00:00,1.7018,68.0388555,29
7752,38947,Mustapha Jarju Alasan,178374,1986-07-18 00:00:00,1.8288,81.19303423000001,35
11073,36491,Zsolt Low,111191,1979-04-29 00:00:00,1.8034000000000001,69.85322498000001,42
8427,27613,Paulinho,164256,1986-01-10 00:00:00,1.7526,72.12118683,35
6259,67360,Luca Radice,221640,1987-04-09 00:00:00,1.8034000000000001,69.85322498000001,34
3485,37753,Francis Dickoh,130933,1982-12-13 00:00:00,1.8796000000000002,84.82177319,38
87,495841,Adalberto Penaranda,231638,1997-05-31 00:00:00,1.8288,78.01788764,24
10862,67941,Xavier Chen,158260,1983-10-05 00:00:00,1.7526,68.94604024,37
3142,199916,Ezequiel Adrian Cirigliano,199666,1992-01-24 00:00:00,1.7272,71.21400209000001,29
7123,429986,Matias Malvino,229482,1992-01-20 00:00:00,1.8796000000000002,78.92507238,29
5505,364290,Julian Michel,212169,1992-02-19 00:00:00,1.8034000000000001,68.0388555,29
10496,465728,Tuur Dierckx,216295,1995-05-09 00:00:00,1.7018,68.0388555,26
1834,31244,Cicero,156914,1984-08-26 00:00:00,1.8288,72.12118683,37
2606,5710,Diederik Boer,9833,1980-09-24 00:00:00,1.9304,89.81128926000001,40
6897,96619,Markel Susaeta,189354,1987-12-14 00:00:00,1.778,68.0388555,33
4816,214570,Jeffrey Schlupp,200759,1992-12-23 00:00:00,1.778,72.12118683,28
10865,149140,Xavier Luissint,188954,1984-01-13 00:00:00,1.778,79.83225712000001,37
4873,30818,Jermaine Jenas,49076,1983-02-18 00:00:00,1.778,76.20351816,38
6633,96532,Marcello Gazzola,183188,1985-04-03 00:00:00,1.8288,78.01788764,36
9177,33344,Romain Poyet,100964,1980-11-25 00:00:00,1.8288,79.83225712000001,40
7815,209387,Nayib Lagouireh,184239,1991-06-06 00:00:00,1.7018,66.22448602,30
9325,24903,Russell Martin,162886,1986-01-04 00:00:00,1.8288,73.02837157,35
4206,94010,Henri Saivet,183256,1990-10-26 00:00:00,1.7526,73.02837157,30
8127,277705,Oliver,205323,1992-08-29 00:00:00,1.778,73.93555631000001,29
6229,196865,Louis Moult,194925,1992-05-14 00:00:00,1.8288,84.82177319,29
10120,41191,Sylvain Marveaux,157310,1986-04-15 00:00:00,1.7272,66.22448602,35
5666,37770,Kasper Schmeichel,163587,1986-11-05 00:00:00,1.8541999999999998,76.20351816,34
10899,354467,Yannick Ferreira-Carrasco,208418,1993-09-04 00:00:00,1.8034000000000001,66.22448602,27
8557,39977,Peter Franquart,163480,1985-01-04 00:00:00,1.8288,82.10021897,36
5154,557342,Jonas Omlin,223550,1994-01-10 00:00:00,1.8796000000000002,79.83225712000001,27
3013,161420,Emmanuel Riviere,188289,1990-03-03 00:00:00,1.8288,76.20351816,31
